,tp,condition,model_num,ae_mse,word,epochs,exp,model_type,optim,lr
0,1.0,word,0,0.08290355,pa-bi-ku,0,1,onehot,sgd,0.1
1,1.0,word,0,0.08175144,ti-bu-do,0,1,onehot,sgd,0.1
2,0.75,part-word,0,0.07976034,tu-da-ro,0,1,onehot,sgd,0.1
3,0.752808988764045,part-word,0,0.081534386,pi-go-la,0,1,onehot,sgd,0.1
0,1.0,word,0,0.0831705,pa-bi-ku,0,1,onehot,sgd,0.01
1,1.0,word,0,0.08197078,ti-bu-do,0,1,onehot,sgd,0.01
2,0.75,part-word,0,0.08020836,tu-da-ro,0,1,onehot,sgd,0.01
3,0.752808988764045,part-word,0,0.08204639,pi-go-la,0,1,onehot,sgd,0.01
0,1.0,word,0,0.083197944,pa-bi-ku,0,1,onehot,sgd,0.001
1,1.0,word,0,0.08199347,ti-bu-do,0,1,onehot,sgd,0.001
2,0.75,part-word,0,0.080253914,tu-da-ro,0,1,onehot,sgd,0.001
3,0.752808988764045,part-word,0,0.08209833,pi-go-la,0,1,onehot,sgd,0.001
0,1.0,word,0,0.08320069,pa-bi-ku,0,1,onehot,sgd,0.0001
1,1.0,word,0,0.08199575,ti-bu-do,0,1,onehot,sgd,0.0001
2,0.75,part-word,0,0.080258474,tu-da-ro,0,1,onehot,sgd,0.0001
3,0.752808988764045,part-word,0,0.08210353,pi-go-la,0,1,onehot,sgd,0.0001
0,1.0,word,0,0.083200976,pa-bi-ku,0,1,onehot,sgd,1e-05
1,1.0,word,0,0.08199597,ti-bu-do,0,1,onehot,sgd,1e-05
2,0.75,part-word,0,0.080258936,tu-da-ro,0,1,onehot,sgd,1e-05
3,0.752808988764045,part-word,0,0.08210405,pi-go-la,0,1,onehot,sgd,1e-05
0,1.0,word,0,612435.0,pa-bi-ku,0,1,onehot,adam,0.1
1,1.0,word,0,611059.1,ti-bu-do,0,1,onehot,adam,0.1
2,0.75,part-word,0,609612.06,tu-da-ro,0,1,onehot,adam,0.1
3,0.752808988764045,part-word,0,613603.9,pi-go-la,0,1,onehot,adam,0.1
0,1.0,word,0,0.16773382,pa-bi-ku,0,1,onehot,adam,0.01
1,1.0,word,0,0.17505795,ti-bu-do,0,1,onehot,adam,0.01
2,0.75,part-word,0,0.15693033,tu-da-ro,0,1,onehot,adam,0.01
3,0.752808988764045,part-word,0,0.148616,pi-go-la,0,1,onehot,adam,0.01
0,1.0,word,0,0.08039045,pa-bi-ku,0,1,onehot,adam,0.001
1,1.0,word,0,0.08021979,ti-bu-do,0,1,onehot,adam,0.001
2,0.75,part-word,0,0.07650101,tu-da-ro,0,1,onehot,adam,0.001
3,0.752808988764045,part-word,0,0.07711311,pi-go-la,0,1,onehot,adam,0.001
0,1.0,word,0,0.082851164,pa-bi-ku,0,1,onehot,adam,0.0001
1,1.0,word,0,0.08173806,ti-bu-do,0,1,onehot,adam,0.0001
2,0.75,part-word,0,0.07979192,tu-da-ro,0,1,onehot,adam,0.0001
3,0.752808988764045,part-word,0,0.081510976,pi-go-la,0,1,onehot,adam,0.0001
0,1.0,word,0,0.08316511,pa-bi-ku,0,1,onehot,adam,1e-05
1,1.0,word,0,0.081969365,ti-bu-do,0,1,onehot,adam,1e-05
2,0.75,part-word,0,0.08021164,tu-da-ro,0,1,onehot,adam,1e-05
3,0.752808988764045,part-word,0,0.082044005,pi-go-la,0,1,onehot,adam,1e-05
0,1.0,word,0,869824.1,pa-bi-ku,0,1,onehot,adagrad,0.1
1,1.0,word,0,895322.75,ti-bu-do,0,1,onehot,adagrad,0.1
2,0.75,part-word,0,893317.1,tu-da-ro,0,1,onehot,adagrad,0.1
3,0.752808988764045,part-word,0,871059.0,pi-go-la,0,1,onehot,adagrad,0.1
0,1.0,word,0,0.16822611,pa-bi-ku,0,1,onehot,adagrad,0.01
1,1.0,word,0,0.17556486,ti-bu-do,0,1,onehot,adagrad,0.01
2,0.75,part-word,0,0.15740173,tu-da-ro,0,1,onehot,adagrad,0.01
3,0.752808988764045,part-word,0,0.14903826,pi-go-la,0,1,onehot,adagrad,0.01
0,1.0,word,0,0.08039363,pa-bi-ku,0,1,onehot,adagrad,0.001
1,1.0,word,0,0.080219105,ti-bu-do,0,1,onehot,adagrad,0.001
2,0.75,part-word,0,0.07650049,tu-da-ro,0,1,onehot,adagrad,0.001
3,0.752808988764045,part-word,0,0.07710831,pi-go-la,0,1,onehot,adagrad,0.001
0,1.0,word,0,0.082851365,pa-bi-ku,0,1,onehot,adagrad,0.0001
1,1.0,word,0,0.081737936,ti-bu-do,0,1,onehot,adagrad,0.0001
2,0.75,part-word,0,0.079791784,tu-da-ro,0,1,onehot,adagrad,0.0001
3,0.752808988764045,part-word,0,0.081510544,pi-go-la,0,1,onehot,adagrad,0.0001
0,1.0,word,0,0.08316514,pa-bi-ku,0,1,onehot,adagrad,1e-05
1,1.0,word,0,0.08196935,ti-bu-do,0,1,onehot,adagrad,1e-05
2,0.75,part-word,0,0.08021163,tu-da-ro,0,1,onehot,adagrad,1e-05
3,0.752808988764045,part-word,0,0.08204396,pi-go-la,0,1,onehot,adagrad,1e-05
0,1.0,word,0,3.1449517e+21,pa-bi-ku,0,1,onehot,RMSprop,0.1
1,1.0,word,0,3.327617e+21,ti-bu-do,0,1,onehot,RMSprop,0.1
2,0.75,part-word,0,3.5732165e+21,tu-da-ro,0,1,onehot,RMSprop,0.1
3,0.752808988764045,part-word,0,3.2413842e+21,pi-go-la,0,1,onehot,RMSprop,0.1
0,1.0,word,0,591669.1,pa-bi-ku,0,1,onehot,RMSprop,0.01
1,1.0,word,0,591863.1,ti-bu-do,0,1,onehot,RMSprop,0.01
2,0.75,part-word,0,591989.9,tu-da-ro,0,1,onehot,RMSprop,0.01
3,0.752808988764045,part-word,0,591668.75,pi-go-la,0,1,onehot,RMSprop,0.01
0,1.0,word,0,0.16651157,pa-bi-ku,0,1,onehot,RMSprop,0.001
1,1.0,word,0,0.17377275,ti-bu-do,0,1,onehot,RMSprop,0.001
2,0.75,part-word,0,0.1556541,tu-da-ro,0,1,onehot,RMSprop,0.001
3,0.752808988764045,part-word,0,0.14748457,pi-go-la,0,1,onehot,RMSprop,0.001
0,1.0,word,0,0.08038913,pa-bi-ku,0,1,onehot,RMSprop,0.0001
1,1.0,word,0,0.08021857,ti-bu-do,0,1,onehot,RMSprop,0.0001
2,0.75,part-word,0,0.07649976,tu-da-ro,0,1,onehot,RMSprop,0.0001
3,0.752808988764045,part-word,0,0.07712443,pi-go-la,0,1,onehot,RMSprop,0.0001
0,1.0,word,0,0.082851246,pa-bi-ku,0,1,onehot,RMSprop,1e-05
1,1.0,word,0,0.08173813,ti-bu-do,0,1,onehot,RMSprop,1e-05
2,0.75,part-word,0,0.07979195,tu-da-ro,0,1,onehot,RMSprop,1e-05
3,0.752808988764045,part-word,0,0.08151224,pi-go-la,0,1,onehot,RMSprop,1e-05
0,1.0,word,0,0.08263199,pa-bi-ku,1,1,onehot,sgd,0.1
1,1.0,word,0,0.08153069,ti-bu-do,1,1,onehot,sgd,0.1
2,0.75,part-word,0,0.07929315,tu-da-ro,1,1,onehot,sgd,0.1
3,0.752808988764045,part-word,0,0.08099959,pi-go-la,1,1,onehot,sgd,0.1
0,1.0,word,0,0.08314028,pa-bi-ku,1,1,onehot,sgd,0.01
1,1.0,word,0,0.08194582,ti-bu-do,1,1,onehot,sgd,0.01
2,0.75,part-word,0,0.08015808,tu-da-ro,1,1,onehot,sgd,0.01
3,0.752808988764045,part-word,0,0.08198902,pi-go-la,1,1,onehot,sgd,0.01
0,1.0,word,0,0.0831949,pa-bi-ku,1,1,onehot,sgd,0.001
1,1.0,word,0,0.08199094,ti-bu-do,1,1,onehot,sgd,0.001
2,0.75,part-word,0,0.08024885,tu-da-ro,1,1,onehot,sgd,0.001
3,0.752808988764045,part-word,0,0.08209255,pi-go-la,1,1,onehot,sgd,0.001
0,1.0,word,0,0.083200395,pa-bi-ku,1,1,onehot,sgd,0.0001
1,1.0,word,0,0.081995495,ti-bu-do,1,1,onehot,sgd,0.0001
2,0.75,part-word,0,0.08025797,tu-da-ro,1,1,onehot,sgd,0.0001
3,0.752808988764045,part-word,0,0.082102954,pi-go-la,1,1,onehot,sgd,0.0001
0,1.0,word,0,0.08320095,pa-bi-ku,1,1,onehot,sgd,1e-05
1,1.0,word,0,0.08199595,ti-bu-do,1,1,onehot,sgd,1e-05
2,0.75,part-word,0,0.08025889,tu-da-ro,1,1,onehot,sgd,1e-05
3,0.752808988764045,part-word,0,0.08210399,pi-go-la,1,1,onehot,sgd,1e-05
0,1.0,word,0,64197.48,pa-bi-ku,1,1,onehot,adam,0.1
1,1.0,word,0,64319.902,ti-bu-do,1,1,onehot,adam,0.1
2,0.75,part-word,0,60786.61,tu-da-ro,1,1,onehot,adam,0.1
3,0.752808988764045,part-word,0,57636.945,pi-go-la,1,1,onehot,adam,0.1
0,1.0,word,0,0.079875484,pa-bi-ku,1,1,onehot,adam,0.01
1,1.0,word,0,0.08242042,ti-bu-do,1,1,onehot,adam,0.01
2,0.75,part-word,0,0.07507761,tu-da-ro,1,1,onehot,adam,0.01
3,0.752808988764045,part-word,0,0.073180586,pi-go-la,1,1,onehot,adam,0.01
0,1.0,word,0,0.07941006,pa-bi-ku,1,1,onehot,adam,0.001
1,1.0,word,0,0.07990579,ti-bu-do,1,1,onehot,adam,0.001
2,0.75,part-word,0,0.07420775,tu-da-ro,1,1,onehot,adam,0.001
3,0.752808988764045,part-word,0,0.07365455,pi-go-la,1,1,onehot,adam,0.001
0,1.0,word,0,0.08252534,pa-bi-ku,1,1,onehot,adam,0.0001
1,1.0,word,0,0.08150202,ti-bu-do,1,1,onehot,adam,0.0001
2,0.75,part-word,0,0.07935329,tu-da-ro,1,1,onehot,adam,0.0001
3,0.752808988764045,part-word,0,0.0809453,pi-go-la,1,1,onehot,adam,0.0001
0,1.0,word,0,0.0831294,pa-bi-ku,1,1,onehot,adam,1e-05
1,1.0,word,0,0.081942916,ti-bu-do,1,1,onehot,adam,1e-05
2,0.75,part-word,0,0.08016444,tu-da-ro,1,1,onehot,adam,1e-05
3,0.752808988764045,part-word,0,0.08198404,pi-go-la,1,1,onehot,adam,1e-05
0,1.0,word,0,80.58387,pa-bi-ku,1,1,onehot,adagrad,0.1
1,1.0,word,0,73.54027,ti-bu-do,1,1,onehot,adagrad,0.1
2,0.75,part-word,0,76.67256,tu-da-ro,1,1,onehot,adagrad,0.1
3,0.752808988764045,part-word,0,78.403076,pi-go-la,1,1,onehot,adagrad,0.1
0,1.0,word,0,0.08232203,pa-bi-ku,1,1,onehot,adagrad,0.01
1,1.0,word,0,0.08340842,ti-bu-do,1,1,onehot,adagrad,0.01
2,0.75,part-word,0,0.078792766,tu-da-ro,1,1,onehot,adagrad,0.01
3,0.752808988764045,part-word,0,0.07793532,pi-go-la,1,1,onehot,adagrad,0.01
0,1.0,word,0,0.079849735,pa-bi-ku,1,1,onehot,adagrad,0.001
1,1.0,word,0,0.07984215,ti-bu-do,1,1,onehot,adagrad,0.001
2,0.75,part-word,0,0.07480441,tu-da-ro,1,1,onehot,adagrad,0.001
3,0.752808988764045,part-word,0,0.07469116,pi-go-la,1,1,onehot,adagrad,0.001
0,1.0,word,0,0.08262226,pa-bi-ku,1,1,onehot,adagrad,0.0001
1,1.0,word,0,0.081574455,ti-bu-do,1,1,onehot,adagrad,0.0001
2,0.75,part-word,0,0.07948451,tu-da-ro,1,1,onehot,adagrad,0.0001
3,0.752808988764045,part-word,0,0.08111301,pi-go-la,1,1,onehot,adagrad,0.0001
0,1.0,word,0,0.08313994,pa-bi-ku,1,1,onehot,adagrad,1e-05
1,1.0,word,0,0.081950665,ti-bu-do,1,1,onehot,adagrad,1e-05
2,0.75,part-word,0,0.08017826,tu-da-ro,1,1,onehot,adagrad,1e-05
3,0.752808988764045,part-word,0,0.08200157,pi-go-la,1,1,onehot,adagrad,1e-05
0,1.0,word,0,2.4498153e+19,pa-bi-ku,1,1,onehot,RMSprop,0.1
1,1.0,word,0,2.3682106e+19,ti-bu-do,1,1,onehot,RMSprop,0.1
2,0.75,part-word,0,3.0563046e+19,tu-da-ro,1,1,onehot,RMSprop,0.1
3,0.752808988764045,part-word,0,3.125073e+19,pi-go-la,1,1,onehot,RMSprop,0.1
0,1.0,word,0,30.413612,pa-bi-ku,1,1,onehot,RMSprop,0.01
1,1.0,word,0,30.454727,ti-bu-do,1,1,onehot,RMSprop,0.01
2,0.75,part-word,0,29.84243,tu-da-ro,1,1,onehot,RMSprop,0.01
3,0.752808988764045,part-word,0,29.947084,pi-go-la,1,1,onehot,RMSprop,0.01
0,1.0,word,0,0.08214212,pa-bi-ku,1,1,onehot,RMSprop,0.001
1,1.0,word,0,0.08362682,ti-bu-do,1,1,onehot,RMSprop,0.001
2,0.75,part-word,0,0.078698605,tu-da-ro,1,1,onehot,RMSprop,0.001
3,0.752808988764045,part-word,0,0.07811986,pi-go-la,1,1,onehot,RMSprop,0.001
0,1.0,word,0,0.07984615,pa-bi-ku,1,1,onehot,RMSprop,0.0001
1,1.0,word,0,0.07984054,ti-bu-do,1,1,onehot,RMSprop,0.0001
2,0.75,part-word,0,0.07480021,tu-da-ro,1,1,onehot,RMSprop,0.0001
3,0.752808988764045,part-word,0,0.07469908,pi-go-la,1,1,onehot,RMSprop,0.0001
0,1.0,word,0,0.08262172,pa-bi-ku,1,1,onehot,RMSprop,1e-05
1,1.0,word,0,0.08157425,ti-bu-do,1,1,onehot,RMSprop,1e-05
2,0.75,part-word,0,0.079483874,tu-da-ro,1,1,onehot,RMSprop,1e-05
3,0.752808988764045,part-word,0,0.0811142,pi-go-la,1,1,onehot,RMSprop,1e-05
0,1.0,word,0,0.082383454,pa-bi-ku,2,1,onehot,sgd,0.1
1,1.0,word,0,0.08133343,ti-bu-do,2,1,onehot,sgd,0.1
2,0.75,part-word,0,0.07885668,tu-da-ro,2,1,onehot,sgd,0.1
3,0.752808988764045,part-word,0,0.0804995,pi-go-la,2,1,onehot,sgd,0.1
0,1.0,word,0,0.0831103,pa-bi-ku,2,1,onehot,sgd,0.01
1,1.0,word,0,0.0819211,ti-bu-do,2,1,onehot,sgd,0.01
2,0.75,part-word,0,0.08010813,tu-da-ro,2,1,onehot,sgd,0.01
3,0.752808988764045,part-word,0,0.08193201,pi-go-la,2,1,onehot,sgd,0.01
0,1.0,word,0,0.083191834,pa-bi-ku,2,1,onehot,sgd,0.001
1,1.0,word,0,0.081988424,ti-bu-do,2,1,onehot,sgd,0.001
2,0.75,part-word,0,0.080243796,tu-da-ro,2,1,onehot,sgd,0.001
3,0.752808988764045,part-word,0,0.08208677,pi-go-la,2,1,onehot,sgd,0.001
0,1.0,word,0,0.08320008,pa-bi-ku,2,1,onehot,sgd,0.0001
1,1.0,word,0,0.081995234,ti-bu-do,2,1,onehot,sgd,0.0001
2,0.75,part-word,0,0.08025746,tu-da-ro,2,1,onehot,sgd,0.0001
3,0.752808988764045,part-word,0,0.08210237,pi-go-la,2,1,onehot,sgd,0.0001
0,1.0,word,0,0.0832009,pa-bi-ku,2,1,onehot,sgd,1e-05
1,1.0,word,0,0.081995934,ti-bu-do,2,1,onehot,sgd,1e-05
2,0.75,part-word,0,0.08025885,tu-da-ro,2,1,onehot,sgd,1e-05
3,0.752808988764045,part-word,0,0.08210394,pi-go-la,2,1,onehot,sgd,1e-05
0,1.0,word,0,23919180.0,pa-bi-ku,2,1,onehot,adam,0.1
1,1.0,word,0,24133486.0,ti-bu-do,2,1,onehot,adam,0.1
2,0.75,part-word,0,23779044.0,tu-da-ro,2,1,onehot,adam,0.1
3,0.752808988764045,part-word,0,22424200.0,pi-go-la,2,1,onehot,adam,0.1
0,1.0,word,0,0.08428323,pa-bi-ku,2,1,onehot,adam,0.01
1,1.0,word,0,0.0846892,ti-bu-do,2,1,onehot,adam,0.01
2,0.75,part-word,0,0.07958674,tu-da-ro,2,1,onehot,adam,0.01
3,0.752808988764045,part-word,0,0.079945534,pi-go-la,2,1,onehot,adam,0.01
0,1.0,word,0,0.07995209,pa-bi-ku,2,1,onehot,adam,0.001
1,1.0,word,0,0.080816016,ti-bu-do,2,1,onehot,adam,0.001
2,0.75,part-word,0,0.07326849,tu-da-ro,2,1,onehot,adam,0.001
3,0.752808988764045,part-word,0,0.071804486,pi-go-la,2,1,onehot,adam,0.001
0,1.0,word,0,0.08221364,pa-bi-ku,2,1,onehot,adam,0.0001
1,1.0,word,0,0.081284285,ti-bu-do,2,1,onehot,adam,0.0001
2,0.75,part-word,0,0.07893628,tu-da-ro,2,1,onehot,adam,0.0001
3,0.752808988764045,part-word,0,0.08040702,pi-go-la,2,1,onehot,adam,0.0001
0,1.0,word,0,0.08309385,pa-bi-ku,2,1,onehot,adam,1e-05
1,1.0,word,0,0.081916645,ti-bu-do,2,1,onehot,adam,1e-05
2,0.75,part-word,0,0.080117375,tu-da-ro,2,1,onehot,adam,1e-05
3,0.752808988764045,part-word,0,0.081924245,pi-go-la,2,1,onehot,adam,1e-05
0,1.0,word,0,1477.6273,pa-bi-ku,2,1,onehot,adagrad,0.1
1,1.0,word,0,1861.4143,ti-bu-do,2,1,onehot,adagrad,0.1
2,0.75,part-word,0,1636.6223,tu-da-ro,2,1,onehot,adagrad,0.1
3,0.752808988764045,part-word,0,1567.2632,pi-go-la,2,1,onehot,adagrad,0.1
0,1.0,word,0,0.079340056,pa-bi-ku,2,1,onehot,adagrad,0.01
1,1.0,word,0,0.079894215,ti-bu-do,2,1,onehot,adagrad,0.01
2,0.75,part-word,0,0.07374666,tu-da-ro,2,1,onehot,adagrad,0.01
3,0.752808988764045,part-word,0,0.073715016,pi-go-la,2,1,onehot,adagrad,0.01
0,1.0,word,0,0.07973926,pa-bi-ku,2,1,onehot,adagrad,0.001
1,1.0,word,0,0.0798955,ti-bu-do,2,1,onehot,adagrad,0.001
2,0.75,part-word,0,0.07381642,tu-da-ro,2,1,onehot,adagrad,0.001
3,0.752808988764045,part-word,0,0.07346393,pi-go-la,2,1,onehot,adagrad,0.001
0,1.0,word,0,0.08244232,pa-bi-ku,2,1,onehot,adagrad,0.0001
1,1.0,word,0,0.08144812,ti-bu-do,2,1,onehot,adagrad,0.0001
2,0.75,part-word,0,0.07924148,tu-da-ro,2,1,onehot,adagrad,0.0001
3,0.752808988764045,part-word,0,0.08080447,pi-go-la,2,1,onehot,adagrad,0.0001
0,1.0,word,0,0.08311945,pa-bi-ku,2,1,onehot,adagrad,1e-05
1,1.0,word,0,0.0819355,ti-bu-do,2,1,onehot,adagrad,1e-05
2,0.75,part-word,0,0.08015108,tu-da-ro,2,1,onehot,adagrad,1e-05
3,0.752808988764045,part-word,0,0.081967056,pi-go-la,2,1,onehot,adagrad,1e-05
0,1.0,word,0,4.896248e+18,pa-bi-ku,2,1,onehot,RMSprop,0.1
1,1.0,word,0,5.3782007e+18,ti-bu-do,2,1,onehot,RMSprop,0.1
2,0.75,part-word,0,8.501549e+18,tu-da-ro,2,1,onehot,RMSprop,0.1
3,0.752808988764045,part-word,0,4.6970015e+18,pi-go-la,2,1,onehot,RMSprop,0.1
0,1.0,word,0,148.20331,pa-bi-ku,2,1,onehot,RMSprop,0.01
1,1.0,word,0,148.07849,ti-bu-do,2,1,onehot,RMSprop,0.01
2,0.75,part-word,0,148.06436,tu-da-ro,2,1,onehot,RMSprop,0.01
3,0.752808988764045,part-word,0,148.18361,pi-go-la,2,1,onehot,RMSprop,0.01
0,1.0,word,0,0.07914223,pa-bi-ku,2,1,onehot,RMSprop,0.001
1,1.0,word,0,0.08013262,ti-bu-do,2,1,onehot,RMSprop,0.001
2,0.75,part-word,0,0.07364479,tu-da-ro,2,1,onehot,RMSprop,0.001
3,0.752808988764045,part-word,0,0.07384302,pi-go-la,2,1,onehot,RMSprop,0.001
0,1.0,word,0,0.07973726,pa-bi-ku,2,1,onehot,RMSprop,0.0001
1,1.0,word,0,0.079891115,ti-bu-do,2,1,onehot,RMSprop,0.0001
2,0.75,part-word,0,0.07380995,tu-da-ro,2,1,onehot,RMSprop,0.0001
3,0.752808988764045,part-word,0,0.07346229,pi-go-la,2,1,onehot,RMSprop,0.0001
0,1.0,word,0,0.08244103,pa-bi-ku,2,1,onehot,RMSprop,1e-05
1,1.0,word,0,0.08144713,ti-bu-do,2,1,onehot,RMSprop,1e-05
2,0.75,part-word,0,0.07923976,tu-da-ro,2,1,onehot,RMSprop,1e-05
3,0.752808988764045,part-word,0,0.080804355,pi-go-la,2,1,onehot,RMSprop,1e-05
0,1.0,word,0,0.08195329,pa-bi-ku,4,1,onehot,sgd,0.1
1,1.0,word,0,0.08099899,ti-bu-do,4,1,onehot,sgd,0.1
2,0.75,part-word,0,0.07807234,tu-da-ro,4,1,onehot,sgd,0.1
3,0.752808988764045,part-word,0,0.079596385,pi-go-la,4,1,onehot,sgd,0.1
0,1.0,word,0,0.083051145,pa-bi-ku,4,1,onehot,sgd,0.01
1,1.0,word,0,0.081872374,ti-bu-do,4,1,onehot,sgd,0.01
2,0.75,part-word,0,0.08000916,tu-da-ro,4,1,onehot,sgd,0.01
3,0.752808988764045,part-word,0,0.081819035,pi-go-la,4,1,onehot,sgd,0.01
0,1.0,word,0,0.08318574,pa-bi-ku,4,1,onehot,sgd,0.001
1,1.0,word,0,0.08198337,ti-bu-do,4,1,onehot,sgd,0.001
2,0.75,part-word,0,0.08023367,tu-da-ro,4,1,onehot,sgd,0.001
3,0.752808988764045,part-word,0,0.08207524,pi-go-la,4,1,onehot,sgd,0.001
0,1.0,word,0,0.08319947,pa-bi-ku,4,1,onehot,sgd,0.0001
1,1.0,word,0,0.08199473,ti-bu-do,4,1,onehot,sgd,0.0001
2,0.75,part-word,0,0.08025645,tu-da-ro,4,1,onehot,sgd,0.0001
3,0.752808988764045,part-word,0,0.08210121,pi-go-la,4,1,onehot,sgd,0.0001
0,1.0,word,0,0.08320084,pa-bi-ku,4,1,onehot,sgd,1e-05
1,1.0,word,0,0.081995875,ti-bu-do,4,1,onehot,sgd,1e-05
2,0.75,part-word,0,0.08025874,tu-da-ro,4,1,onehot,sgd,1e-05
3,0.752808988764045,part-word,0,0.08210382,pi-go-la,4,1,onehot,sgd,1e-05
0,1.0,word,0,31.521084,pa-bi-ku,4,1,onehot,adam,0.1
1,1.0,word,0,32.323105,ti-bu-do,4,1,onehot,adam,0.1
2,0.75,part-word,0,33.44139,tu-da-ro,4,1,onehot,adam,0.1
3,0.752808988764045,part-word,0,32.15862,pi-go-la,4,1,onehot,adam,0.1
0,1.0,word,0,0.08430873,pa-bi-ku,4,1,onehot,adam,0.01
1,1.0,word,0,0.08310026,ti-bu-do,4,1,onehot,adam,0.01
2,0.75,part-word,0,0.078067414,tu-da-ro,4,1,onehot,adam,0.01
3,0.752808988764045,part-word,0,0.07890685,pi-go-la,4,1,onehot,adam,0.01
0,1.0,word,0,0.08459914,pa-bi-ku,4,1,onehot,adam,0.001
1,1.0,word,0,0.08521247,ti-bu-do,4,1,onehot,adam,0.001
2,0.75,part-word,0,0.073896065,tu-da-ro,4,1,onehot,adam,0.001
3,0.752808988764045,part-word,0,0.07246806,pi-go-la,4,1,onehot,adam,0.001
0,1.0,word,0,0.08162512,pa-bi-ku,4,1,onehot,adam,0.0001
1,1.0,word,0,0.080912046,ti-bu-do,4,1,onehot,adam,0.0001
2,0.75,part-word,0,0.07816306,tu-da-ro,4,1,onehot,adam,0.0001
3,0.752808988764045,part-word,0,0.07939562,pi-go-la,4,1,onehot,adam,0.0001
0,1.0,word,0,0.083023384,pa-bi-ku,4,1,onehot,adam,1e-05
1,1.0,word,0,0.081864774,ti-bu-do,4,1,onehot,adam,1e-05
2,0.75,part-word,0,0.08002357,tu-da-ro,4,1,onehot,adam,1e-05
3,0.752808988764045,part-word,0,0.08180523,pi-go-la,4,1,onehot,adam,1e-05
0,1.0,word,0,0.21575102,pa-bi-ku,4,1,onehot,adagrad,0.1
1,1.0,word,0,0.23452535,ti-bu-do,4,1,onehot,adagrad,0.1
